"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","Jordan Clarkson",4900,"LAL@DEN 12/02/2017 09:00PM ET",24.679,"LAL","DEN",22.55,0,21.75
"PG/SG","Malcolm Brogdon",4900,"SAC@MIL 12/02/2017 08:30PM ET",24.566,"MIL","SAC",19.23,0,21.75
"PF/C","Kenneth Faried",4800,"LAL@DEN 12/02/2017 09:00PM ET",12.444,"DEN","LAL",30.7,0,27.25
"SF/PF","Wilson Chandler",4800,"LAL@DEN 12/02/2017 09:00PM ET",19.792,"DEN","LAL",0,0,0
"C","John Henson",4800,"SAC@MIL 12/02/2017 08:30PM ET",21.434,"MIL","SAC",27.05,0,24
"SF/PF","JaMychal Green",4700,"MEM@CLE 12/02/2017 07:30PM ET",19.875,"MEM","CLE",19.94,0,29.75
"PG","Rajon Rondo",4600,"NO@POR 12/02/2017 10:00PM ET",17.875,"NO","POR",28.08,0,38.5
"PG","TJ McConnell",4600,"DET@PHI 12/02/2017 07:30PM ET",21.588,"PHI","DET",0,0,0
"PG","De'Aaron Fox",4500,"SAC@MIL 12/02/2017 08:30PM ET",21.571,"SAC","MIL",21.41,0,27.5
"SG/SF","Buddy Hield",4400,"SAC@MIL 12/02/2017 08:30PM ET",21.842,"SAC","MIL",11.74,0,36
"SF/PF","Al-Farouq Aminu",4300,"NO@POR 12/02/2017 10:00PM ET",22.8,"POR","NO",16.39,0,13.25
"SG/SF","JR Smith",4100,"MEM@CLE 12/02/2017 07:30PM ET",17.205,"CLE","MEM",18.58,0,33.25
"PF/C","Noah Vonleh",4100,"NO@POR 12/02/2017 10:00PM ET",17.55,"POR","NO",17.06,0,17.75
"PG","Ish Smith",4000,"DET@PHI 12/02/2017 07:30PM ET",19.363,"DET","PHI",19.78,0,0
"PG/SG","George Hill",4000,"SAC@MIL 12/02/2017 08:30PM ET",18.368,"SAC","MIL",18.16,0,8.5
"SG/SF","Evan Turner",3900,"NO@POR 12/02/2017 10:00PM ET",18.284,"POR","NO",19.14,0,8
"PG","Emmanuel Mudiay",3900,"LAL@DEN 12/02/2017 09:00PM ET",19.607,"DEN","LAL",16.85,0,17.75
"PG/SG","Garrett Temple",3900,"SAC@MIL 12/02/2017 08:30PM ET",16.613,"SAC","MIL",19.54,0,24
"SF/PF","Jeff Green",3800,"MEM@CLE 12/02/2017 07:30PM ET",18.159,"CLE","MEM",16.58,0,21.5
"SF/PF","Jae Crowder",3800,"MEM@CLE 12/02/2017 07:30PM ET",15.92,"CLE","MEM",19.65,0,7.5
"SG/SF","Dillon Brooks",3800,"MEM@CLE 12/02/2017 07:30PM ET",17.888,"MEM","CLE",14.31,0,17.25
"SG/SF","James Ennis III",3800,"MEM@CLE 12/02/2017 07:30PM ET",15.526,"MEM","CLE",0,0,0
