Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
95,968685585,jordanvaca254,0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,Trey Lyles,UTIL,2.09%,26
95,968717918,hfmj38 (1/2),0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,Marcin Gortat,C,1.97%,10.75
95,968733333,Tonyromohof,0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,Josh Jackson,F,1.81%,18
95,968734884,Mikelarry02 (1/2),0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,Willie Cauley-Stein,F,1.79%,41.25
95,968746532,nikia0928 (9/11),0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,Chandler Parsons,UTIL,1.79%,13.75
95,968754832,Renshaw_joshua (1/20),0,305,PG John Wall C Nikola Jokic SF Khris Middleton UTIL Dwight Howard SG Eric Bledsoe G Elfrid Payton F Gorgui Dieng PF Brandan Wright,,Gorgui Dieng,UTIL,1.78%,30.25
95,968769177,ChiefFAN22 (2/3),0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,John Henson,UTIL,1.67%,23.75
95,968780730,Renshaw_joshua (10/20),0,305,PG John Wall C Nikola Jokic SF Khris Middleton UTIL Dwight Howard SG Eric Bledsoe G Elfrid Payton F Gorgui Dieng PF Brandan Wright,,Joffrey Lauvergne,UTIL,1.67%,0
95,968781162,nicaragua69 (2/3),0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,Robin Lopez,C,1.62%,17
95,968781682,KenMet3 (1/2),0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,Rodney Hood,SG,1.59%,14.25
95,968781801,KenMet3 (2/2),0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,Dwight Powell,F,1.56%,23
111,967649154,csmaniac (5/20),0,304.75,PG Kyrie Irving SG Tyreke Evans F LaMarcus Aldridge UTIL Kyle Kuzma C Myles Turner G Shabazz Napier SF Lance Stephenson PF Brandan Wright,,Kent Bazemore,UTIL,1.52%,31.5
111,968333030,JamusMcBruwn (14/20),0,304.75,SG Tyreke Evans PF LaMarcus Aldridge C Dwight Howard UTIL DeAndre Jordan PG Jeff Teague G Shabazz Napier SF Allen Crabbe F Bam Adebayo,,Joe Ingles,F,1.52%,24
