"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05"
"Andrew Harrison_MEM",NA,NA,24,NA,15.5,21.25,17,NA
"Doug McDermott_NY",NA,NA,0,NA,NA,NA,0,NA
"Jamal Crawford_MIN",NA,12.75,17.25,NA,17.75,NA,8.25,NA
"Nemanja Bjelica_MIN",NA,0,0,NA,0,NA,0,NA
"Shabazz Muhammad_MIN",NA,0.75,0,NA,0,NA,0,NA
"DeAndre Liggins_MIL",NA,7.25,NA,7.75,NA,5.5,4.75,NA
"Bryn Forbes_SA",NA,NA,10.75,NA,16,NA,2.75,NA
"Dejounte Murray_SA",NA,NA,3,NA,3.5,NA,3.75,NA
"Al Jefferson_IND",NA,NA,0,NA,0,NA,0,NA
"Skal Labissiere_SAC",18.5,18.5,NA,NA,14.5,2.75,NA,NA
"Channing Frye_CLE",NA,9.5,NA,7.25,NA,11,4.5,NA
"Arron Afflalo_ORL",NA,NA,2.75,NA,2,NA,9.5,NA
"Jarell Martin_MEM",NA,NA,9.5,NA,4,13.5,8,NA
"Omri Casspi_GS",16,NA,0,NA,19.5,NA,4.25,NA
"Sam Dekker_LAC",17.5,NA,NA,11.75,NA,2.75,NA,NA
"Anthony Tolliver_DET",NA,NA,16.25,NA,16.75,0.75,10.25,NA
"Jameer Nelson_NO",NA,NA,16.75,NA,14.25,12.75,13,NA
"Brandon Paul_SA",NA,NA,0,NA,2,NA,1.5,NA
"Kosta Koufos_SAC",1.5,12.25,NA,NA,10.5,0.25,NA,NA
"Justin Jackson_SAC",0,0,NA,NA,0,0,NA,NA
"Mario Hezonja_ORL",NA,NA,4,NA,11.75,NA,0.75,NA
"Bismack Biyombo_ORL",NA,NA,15,NA,17.25,NA,7.25,NA
"Isaiah Taylor_ATL",NA,NA,NA,0.75,NA,20.5,12.5,NA
"Tyler Cavanaugh_ATL",NA,NA,NA,4.25,NA,16.75,11.5,NA
"Brandan Wright_MEM",NA,NA,0,NA,2,0,0,NA
"Joakim Noah_NY",NA,NA,0,NA,NA,NA,0,NA
"Dwayne Bacon_CHA",NA,NA,1.25,NA,0,NA,0,NA
"Zaza Pachulia_GS",13.75,NA,23,NA,23.5,NA,0,NA
"Jordan Bell_GS",12.25,NA,15.5,NA,29,NA,6.25,NA
"Luke Kennard_DET",NA,NA,27.5,NA,10.5,14.75,3.5,NA
"Maxi Kleber_DAL",NA,NA,27.25,NA,NA,14,11.75,NA
"Shane Larkin_BOS",NA,NA,NA,0,NA,0,0,NA
"Semi Ojeleye_BOS",NA,NA,NA,5,NA,9.5,2.5,NA
"Ante Zizic_CLE",NA,0,NA,0,NA,0,5.75,NA
"Shelvin Mack_ORL",NA,NA,0,NA,4.25,NA,0,NA
"Deyonta Davis_MEM",NA,NA,4.5,NA,17.5,0,13.25,NA
"Lance Thomas_NY",NA,NA,0,NA,NA,NA,0,NA
"Sindarius Thornwell_LAC",6.75,NA,NA,4.25,NA,13,NA,NA
"Jamil Wilson_LAC",0,NA,NA,7.75,NA,13,NA,NA
"Matthew Dellavedova_MIL",NA,0,NA,0,NA,0,0,NA
"Mirza Teletovic_MIL",NA,0,NA,0,NA,0,0,NA
"Ian Clark_NO",NA,NA,3.5,NA,0,4,2,NA
"Salah Mejri_DAL",NA,NA,2.5,NA,NA,8,11.75,NA
"Antonio Blakeney_CHI",NA,11,NA,6,2.5,NA,0,NA
"Marreese Speights_ORL",NA,NA,0,NA,0,NA,8.75,NA
"Ramon Sessions_NY",NA,NA,0,NA,NA,NA,0,NA
"Langston Galloway_DET",NA,NA,18.5,NA,1.5,9.5,4.5,NA
"Tony Allen_NO",NA,NA,13.25,NA,2.5,11,2.25,NA
"Nerlens Noel_DAL",NA,NA,0,NA,NA,0,0,NA
"Antonius Cleveland_DAL",NA,NA,0,NA,NA,6.25,0,NA
"Josh McRoberts_DAL",NA,NA,0,NA,NA,0,0,NA
"Jeff Withey_DAL",NA,NA,0,NA,NA,6,0,NA
"Johnathan Motley_DAL",NA,NA,0,NA,NA,0,0,NA
