Contest_Date,Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,FPPM,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exposure,Con.,Value,Mins,Score,Val
20171127,Dwyane Wade,PG/SGPGSG,CLE,@ PHI,8th,111.0,5400,5.5,46.5,23.3,1.03,24.2,9.6,22.7,22.36,23.08,23.08,%,50,4.3,24.0,31.0,5.7
20171127,Larry Nance Jr.,SF/PFSFPF,LAL,@ LAC,6th,106.25,5400,8.5,42.0,25.3,1.12,18.4,7.1,22.6,22.5,22.86,22.86,%,62,4.2,29.0,29.0,5.4
20171127,Marcus Smart,SG/SFSGSF,BOS,vs DET,13th,102.5,5300,14.0,40.8,25.7,0.85,19.5,9.9,30.2,30.71,25.49,25.49,%,70,4.8,31.0,37.25,7.0
20171127,Julius Randle,PF/CPFC,LAL,@ LAC,17th,106.25,5300,11.2,37.4,25.2,1.19,25.2,8.6,21.2,18.2,22.42,22.42,%,70,4.2,24.0,16.75,3.2
20171127,Kentavious Caldwell-Pope,SG,LAL,@ LAC,25th,106.25,5300,19.8,46.1,27.4,0.81,17.0,10.5,33.9,36.59,31.06,31.06,%,73,5.9,37.0,46.0,8.7
20171127,Dario Saric,PF/CPFC,PHI,vs CLE,18th,113.0,5200,10.5,44.9,22.4,0.83,18.0,9.8,27.0,29.83,25.24,25.24,%,56,4.9,30.0,22.0,4.2
20171127,Trevor Ariza,SG/SFSGSF,HOU,vs BKN,12th,121.5,5200,13.6,38.4,25.3,0.74,13.9,9.5,34.4,32.5,24.21,24.21,%,72,4.7,28.0,19.5,3.8
20171127,Eric Gordon,SG,HOU,vs BKN,28th,121.5,5200,12.3,42.7,29.5,0.94,27.9,15.5,31.5,27.0,25.33,25.33,%,71,4.9,28.0,18.5,3.6
20171127,Kyle Anderson,PG/SFPGSF,SAS,vs DAL,11th,101.75,5100,14.0,39.5,24.9,0.92,14.9,6.9,27.0,28.85,24.96,24.96,%,71,4.9,33.0,36.0,7.1
20171127,Willie Cauley-Stein,PF/CPFC,SAC,@ GSW,10th,96.0,5100,9.2,44.8,23.7,0.96,19.7,8.6,24.7,27.32,24.45,24.45,%,57,4.8,29.0,43.0,8.4
20171127,J.J. Redick,SG/SFSGSF,PHI,vs CLE,23rd,113.0,5100,15.3,46.0,27.3,0.84,19.1,12.9,32.5,32.73,28.48,28.48,%,68,5.6,36.0,19.5,3.8
20171127,Dennis Smith Jr.,PG/SGPGSG,DAL,@ SAS,2nd,92.75,5000,7.5,40.5,27.6,0.99,30.0,14.8,27.9,26.25,21.66,21.66,%,66,4.3,28.0,27.25,5.5
